"","Antal laddhybrider","Antal elbilar","Antal laddbara fordon","Laddbara fordon/capita","Antal laddpunkter","Antal laddstationer","DC laddstationer","LP/capita","LP/Personbil","Andel av bilbestånd","CPEV"
"UDDEVALLA","1122","1930","3171","5.54","201","44","8","0.35","0.69","10.51","0.06"
"ULRICEHAMN","427","606","1054","4.2","90","17","3","0.36","0.61","7.04","0.09"
"UMEÅ","2820","2704","5825","4.41","254","32","12","0.19","0.45","9.77","0.04"
"UPPLANDS VÄSBY","1057","1049","2145","4.35","80","16","3","0.16","0.43","11.19","0.04"
"UPPLANDS-BRO","476","590","1085","3.41","58","6","3","0.18","0.47","8.66","0.05"
"UPPSALA","4723","5190","10293","4.25","494","67","10","0.2","0.57","11.36","0.05"
"UPPVIDINGE","159","137","307","3.26","8","3","0","0.08","0.15","5.5","0.03"
"VADSTENA","108","175","292","3.9","8","4","0","0.11","0.19","6.75","0.03"
"VAGGERYD","246","324","599","4.03","32","7","3","0.22","0.4","7.06","0.05"
"VALDEMARSVIK","68","98","180","2.36","25","6","4","0.33","0.57","3.78","0.14"
"VALLENTUNA","894","1006","1943","5.58","29","4","1","0.08","0.18","11.79","0.01"
"VANSBRO","50","62","118","1.74","17","4","3","0.25","0.39","2.54","0.14"
"VARA","253","445","743","4.6","46","9","3","0.28","0.47","7.1","0.06"
"VARBERG","1260","1932","3358","4.95","241","54","10","0.36","0.68","8.98","0.07"
"VAXHOLM","372","415","791","6.65","4","2","0","0.03","0.08","14.94","0.01"
"VELLINGE","917","1676","2617","6.92","138","40","3","0.36","0.68","12.73","0.05"
"VETLANDA","521","646","1199","4.33","45","11","6","0.16","0.28","7.36","0.04"
"VILHELMINA","39","38","82","1.28","18","4","3","0.28","0.44","1.89","0.22"
"VIMMERBY","246","333","609","3.91","41","14","3","0.26","0.44","6.23","0.07"
"VINDELN","61","68","131","2.38","12","3","3","0.22","0.38","4.12","0.09"
"VINGÅKER","113","127","284","3.16","2","1","0","0.02","0.04","4.69","0.01"
"VÅRGÅRDA","199","217","429","3.5","19","5","1","0.15","0.29","6.32","0.04"
"VÄNERSBORG","704","995","1770","4.44","92","17","3","0.23","0.42","7.78","0.05"
"VÄNNÄS","113","161","279","3.11","30","7","1","0.33","0.61","5.57","0.11"
"VÄRMDÖ","1463","1323","2820","6.07","119","20","5","0.26","0.61","14.4","0.04"
"VÄRNAMO","919","1064","2047","5.9","114","23","11","0.33","0.59","10.18","0.06"
"VÄSTERVIK","436","530","1036","2.83","95","27","4","0.26","0.5","5.05","0.09"
"VÄSTERÅS","3658","3667","7615","4.8","422","62","17","0.27","0.6","10.34","0.06"
"VÄXJÖ","2107","2339","4611","4.75","208","37","7","0.21","0.47","9.98","0.05"
"YDRE","61","65","131","3.56","7","2","0","0.19","0.32","5.73","0.05"
"YSTAD","592","725","1351","4.26","109","16","8","0.34","0.66","7.99","0.08"
"ÅMÅL","246","170","450","3.68","95","20","5","0.78","1.42","6.22","0.21"
"ÅNGE","81","96","183","2.0","35","8","4","0.38","0.62","3.15","0.19"
"ÅRE","185","274","470","3.81","138","25","6","1.12","2.02","6.71","0.29"
"ÅRJÄNG","86","118","210","2.12","54","7","6","0.54","0.85","3.2","0.26"
