		2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018		3. Är det styrande partiet eller koalitionen av partier i majoritet?	4. Från vilket parti kommer kommun-/landstings-/regionstyrelsens ordförande?		5. Vad heter kommun-/ landstings-/regionstyrelsens tillträdande ordförande?	Kön KSO		6. Från vilket parti kommer kommun-/landstings-/regionfullmäktiges ordförande?		7. Vad heter KFO?	Kön KFO	Är det något angående er kommuns/landstings/regions styrelse eller fullmäktige som bör kommenteras eller förklaras gör det gärna här.	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	
Karlshamns kommun	1082		C			S		MP				,C,,,S,,MP,,,	BL		Minoritet	S		Per-Ola Mattsson	M		S		Marie Sällström	K			C	L		S						,C,L,,S,,,,,	BL
Sölvesborgs kommun	1083	M			KD				SD	ÖP	Sölvesborg och Listerpartiet	M,,,KD,,,,SD,ÖP,	Ö		Majoritet	SD		Louise Erixon	K		M		Arne Bogren	M						S	V	MP				,,,,S,V,MP,,,	V
Svalövs kommun	1214	M			KD				SD			M,,,KD,,,,SD,,	Ö	M, C, L, KD (min) spricker juni 2019. Nya styret har valteknisk samverkan med L.	Minoritet	SD		Teddy Nilsson	M		M		Ann Pettersson	K	Valtekniskt samarbete SD, M, KD, L		C			S	V	MP		ÖP	FI	,C,,,S,V,MP,,ÖP,	BL
Staffanstorps kommun	1230	M							SD			M,,,,,,,SD,,	Ö		Majoritet	M		Christian Sonesson	M		M		Rickard Svensson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Burlövs kommun	1231	M	C	L								M,C,L,,,,,,,	B		Minoritet	M		Amelie Gustafsson	M		C		Fredrik Jörgensen	M			C			S	V	MP				,C,,,S,V,MP,,,	BL
Vellinge kommun	1233	M										M,,,,,,,,,	B		Majoritet	M		Carina Wutzler	K		M		Anna Tinglöf	K		M										M,,,,,,,,,	B
Östra Göinge kommun	1256	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	M		Patric Åberg	M		M		Erling Emsfors	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Örkelljunga kommun	1257	M	C		KD							M,C,,KD,,,,,,	B		Minoritet	M		Christian Larsson	M		KD		Magnus Håkansson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Bjuvs kommun	1260								SD			,,,,,,,SD,,	Ö	Ingen uttalad koalition men formell valteknisk samverkan mellan SD, M och avhoppad L. S, C, L och KD lämnade in sina avsägelser som ordförande, vice ordförande i kommunfullmäktige, kommunstyrelsen, nämnder, Bjuvsbostäder, Bjuvs stadsnät AB samt som vice ordförande i revisionen. Avsägelserna gäller från och med den 1 januari 2020.	Minoritet	SD		Mikael Henrysson	M		SD		Pia Trollehjelm	K												,,,,,,,,,	BL
Kävlinge kommun	1261	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Pia Almström	K		M		Boriana Åberg	K		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Lomma kommun	1262	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Robert Wenglén	M		M		Anders Berngarn	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Svedala kommun	1263	M	C	L	KD					ÖP	Barapartiet	M,C,L,KD,,,,,ÖP,	B		Minoritet	M		Linda Allansson Wester	K		M		Lars Nordberg	M		M	C	L						ÖP	Bara partiet	M,C,L,,,,,,ÖP,	B
Skurups kommun	1264		C	L		S	V	MP		ÖP	Kommunens Väl	,C,L,,S,V,MP,,ÖP,	BL	2021: I december röstade Socialdemokraterna, Miljöpartiet, Vänsterpartiet, Centern, Kommunens väl, Liberalerna och avhoppade SD-ledamöter för ett maktskifte (tidigare minoritet M (KSO), C, Skurupspartiet).	Majoritet	S		Lena Axelsson	K		C		Ann-Helen Nilsson	K						S	V	MP		ÖP	Kommunens väl	,,,,S,V,MP,,ÖP,	V
Sjöbo kommun	1265	M	C	L				MP				M,C,L,,,,MP,,,	B		Minoritet	M		Magnus Weberg	M		M		Thomas Qvist	M		M	C	L	KD					ÖP	Sjöbopartiet	M,C,L,KD,,,,,ÖP,	B
Hörby kommun	1266								SD			,,,,,,,SD,,	Ö		Minoritet	SD		Cecilia Bladh In Zito	K		SD		Johan Ohlin	M	Valteknisk samverkan föreligger mellan styrande parti SD och M, SPI samt KD.					S						,,,,S,,,,,	BL
Höörs kommun	1267	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Johan Svahnberg	K		M		Anders Netterheim	M		M	C		KD	S	V	MP				M,C,,KD,S,V,MP,,,	B
